"nama_tempat","lat","lng","alamat","kecamatan","kota_kab"
"BRI Unit Penggaron",-7.0157627,110.4848267,"Jl. Brigjen Sudiarto Kel No.26, Pedurungan Lor, Kota Semarang","Kecamatan Pedurungan","Kota Semarang"
"BRI Unit Sampangan",-7.0084697,110.3963589,"Jl. Kelud Raya No.7, Bendan Ngisor, Kota Semarang","Kecamatan Gajahmungkur","Kota Semarang"
"BRI Unit Tlogosari",-6.9948966,110.4612495,"Jl. Tlogo Biru III No.1, Tlogosari Kulon, Kota Semarang","Kecamatan Pedurungan","Kota Semarang"
"BTN KCP UNNES",-7.0493329,110.3947452,"Sekaran, Gunung Pati, Sekaran, Kota Semarang","Kecamatan Gunung Pati","Kota Semarang"
"BTPN KCP Pedurungan",-7.0050967,110.4535278,"Jl. Brigjen Sudiarto Blk. B No.234, Kalicari, Semarang City","Kecamatan Pedurungan","Kota Semarang"
"BTPN Syariah KC Semarang",-6.9870439,110.3865585,"Jl. Pamularsih Raya No.16, Bongsari, Kota Semarang","Kecamatan Semarang Barat","Kota Semarang"
"Cabang Danamon KK MAJAPAHIT, SEMARANG",-7.0029241,110.4493922,"JL. MAJAPAHIT RUKO GAYAMSARI BLOK A3, SEMARANG, Gayamsari, Semarang City","Kecamatan Gayamsari","Kota Semarang"
"Danamon",-7.0037248,110.4546506,"Jl. Supriyadi Ruko Artha MAS, Kalicari, Kota Semarang","Kecamatan Pedurungan","Kota Semarang"
"Danamon",-7.007081,110.4154693,"Lempongsari, Semarang City","Kecamatan Gajahmungkur","Kota Semarang"
"Danamon",-6.982734,110.4102516,"Jl. Imam Bonjol No.214, Sekayu, Kota Semarang","Kecamatan Semarang Tengah","Kota Semarang"
"Hsbc",-6.9881446,110.4223337,"Jl. Gajahmada No.135, Pekunden, Kota Semarang","Kecamatan Semarang Tengah","Kota Semarang"
"KB Bukopin KCP Srondol",-7.0505766,110.4186513,"Jl. Setia Budi, Sumurboto, Kota Semarang","Kecamatan Banyumanik","Kota Semarang"
"KC Syariah Semarang",-7.0098348,110.4693175,"Ruko Maja Mas Blok D-E, Jl. Brigjen Sudiarto No.198, Palebon, Kota Semarang","Kecamatan Pedurungan","Kota Semarang"
