wilayah,tahun,frekuensi,objek_bangunan_perumahan, objek_bangunan_umum_dan_perdagangan, objek_bangunan_industri, objek_kendaraan, objek_instalasi_luar_gedung, objek_tumbuhan, objek_ lapak, objek_sampah, objek_lainnya, dugaan_penyebab_listrik, dugaan_penyebab_gas, dugaan_penyebab_lilin, dugaan_penyebab_membakar_sampah, dugaan_penyebab_ rokok, dugaan_penyebab_lainnya, luas_area_kerugian(m2), petugas_mati, petugas_luka, warga_mati, warga_luka, kerugian_bangunan_perumahan, kerugian_bangunan_umum_dan_perdagangan, kerugian_bangunan_industri, kerugian_kendaraan, kerugian_instalasi_luar_gedung, kerugian_tumbuhan, kerugian_ lapak, kerugian_sampah, kerugian_lainnya, jumlah_kk_terkena_bencana, jumlah_jiwa_terkena_bencana, jumlah_taksiran_kerugian_(rp)
Kepulauan Seribu,2011,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,350000000
Jakarta Selatan,2011,221,92,50,1,21,0,0,0,0,57,149,18,0,0,10,44,81368,0,2,2,10,237,53,1,21,0,0,0,0,55,316,1510,44675250000
Jakarta Timur,2011,217,101,35,5,14,0,0,0,0,62,135,14,0,0,9,59,70313,0,1,4,19,234,189,6,20,0,0,0,0,56,539,2172,37580537000
Jakarta Pusat,2011,108,44,43,0,4,0,0,0,0,17,76,9,0,0,6,17,30419.5,0,3,4,19,529,120,0,4,0,0,0,0,17,808,2539,26031000000
Jakarta Barat,2011,225,74,62,15,17,0,0,0,0,57,146,21,1,0,11,46,161611,0,6,3,29,606,92,18,21,0,0,0,0,58,818,3189,74848300000
Jakarta Utara,2011,181,93,34,7,13,0,0,0,0,34,105,20,9,0,8,39,101333,0,1,4,10,1615,40,9,28,0,0,0,0,32,2261,7014,36110250000
